Code,Description
samp1962,sesame candy with pistachio
samp1963,"largemouth bass, frz"
samp1964,Water GA Pond-SC
samp1965,raw meat for pet food
samp1966,flour mandioka powder
samp1967,canine feces; Dog
samp1968,Food - Turkey
samp1969,"swai fillets, frz"
samp1970,frozen tuna
samp1971,raw octopus
samp1972,dried boletus edulis mushrooms
samp1973,Chick bedding
samp1974,dried ginger split
samp1975,Bos taurus; bovine abomasum
samp1976,Kangaroo Liver
samp1977,meat & bone meal
samp1978,murine cottage cheese
samp1979,Pus Osteitis
samp1980,Post-intervention beef carcass; Bos taurus
samp1981,Fishmeal
samp1982,boneless camel meat
samp1983,Bone marrow
samp1984,Monkey
samp1985,Cockroach
samp1986,"animal feed, cattle feed"
samp1987,gecko feces; gecko
samp1988,frozen dace fish
samp1989,gulsha (fish)
samp1990,"Product-RTE-Other Fully Cooked, Not Sliced-Beef"
samp1991,"walking clarius(catfish), frz, cleaned and headless"
samp1992,pistachio halva
samp1993,Bovine (hide)
samp1994,yunnan chili
samp1995,"chilly powder, extra hot"
samp1996,crawfish
samp1997,Bell Peppers
samp1998,shilago headles fish
samp1999,Pork sausage
samp2000,soy lecithin fluid
samp2001,sev bhujia (fried indian snack)
samp2002,"cheese, mexican style"
samp2003,ground egusi melon seeds
samp2004,ground tomato from field
samp2005,Synovial fluid
samp2006,Water GA Pond-CC2
samp2007,Bovine (swab); Bos taurus
samp2008,Rodent (feces); rodent
samp2009,WHITE TAIL DEER
samp2010,egg slurry
samp2011,mizuna
samp2012,Equine (environmental)
samp2013,bovine pooled tissue; Bos taurus
samp2014,Environmental Swab from Granny Smith Apple
samp2015,"squid slices, dried"
samp2016,Environment(Poultrydust)
samp2017,Pistacia vera L.
samp2018,clear smoked frozen tuna saku
samp2019,cattle feed
samp2020,frz feather back meat
samp2021,frz fish
samp2022,nimboo masala
samp2023,water canal
samp2024,shelled pecans
samp2025,frozen tuna fillets
samp2026,frz. frog legs
samp2027,1 bacterial isolate
samp2028,port salut cheese
samp2029,pecan pieces
samp2030,field baby spinach
samp2031,pink shrimp
samp2032,bell peppers green
samp2033,toma piemontese cheese
samp2034,Ovine Abscess
samp2035,frozen barramundi portions
samp2036,"spiny goby fish, whole, frz"
samp2037,Equine (withers)
samp2038,spice mix for lahori fish
samp2039,pud shrimp
samp2040,garam masla mixed spices
samp2041,"octopus, frz whole"
samp2042,Pig Colon
samp2043,feline (necropsy-kidney)
samp2044,spice
samp2045,kaju mix (cashew mix)
samp2046,"frz, thai chile pepper"
samp2047,lotus seed
samp2048,cumin seed
samp2049,"cactus leaves (peeled), fresh"
samp2050,frozen cooked snail meat (sea snails)
samp2051,mexican wild yam root
samp2052,Bird Liver
samp2053,pumpkin seed powder
samp2054,"frozen tuna saku, individually vacuum packed"
samp2055,water and sediment
samp2056,sediment pond VH1
samp2057,egg farm-left belt
samp2058,frz snails
samp2059,frozen milkfish- baked relleno
samp2060,water pond RT2
samp2061,frz. tilapia whole size
samp2062,cat's claw powder (herbal product)
samp2063,frozen fully cooked short necked clams
samp2064,"sesame, whole"
samp2065,spice mix - paneer makhanwala
samp2066,pepper (part of set)
samp2067,hulled sesame
samp2068,"croaker, frozen"
samp2069,poblano pepper
samp2070,"octopus, raw"
samp2071,dehydrated parsley granules
samp2072,chilli peppers
samp2073,frz raw peeled shrimp
samp2074,texturized soy protein
samp2075,frozen ribbon fish chunks
samp2076,shreat fish
samp2077,blood meal
samp2078,frozen ground tuna
samp2079,cumin
samp2080,Bos taurus; bovine pool tissue
samp2081,bovine caecum
samp2082,Poultry Litter
samp2083,Raw Pistachio Kernels
samp2084,egg cracklets
samp2085,poultry feed
samp2086,Macadamia Diced Nuts
samp2087,water chiller
samp2088,Pepperoni
samp2089,Rabbit
samp2090,Crocodylus porosus
samp2091,Shingleback Lizard
samp2092,Ctenotus pantherinus
samp2093,African frog
samp2094,Yellow Cheeked Turtle
samp2095,frozen kingfish steaks
samp2096,seafood mix
samp2097,raw aquatic snails
samp2098,"gecko, dried"
samp2099,Air
samp2100,Chocolate mousse
samp2101,"meat, bone, and feather meal"
samp2102,aneurysm sac; Homo sapiens
samp2103,stool; female; Homo sapiens; Age: 22
samp2104,"thai peppers, fresh"
samp2105,corn flour snacks lime flavor
samp2106,soft cheese
samp2107,"st,st; Homo sapiens"
samp2108,"shrimp, raw, frz"
samp2109,grazing pasture - drag swab
samp2110,Redpoll
samp2111,Bovine Milk; Bos taurus
samp2112,curley parsley
samp2113,Kheer Mix
samp2114,ajwam seeds
samp2115,"animal feed, bulk milo"
samp2116,frz featherback fish
samp2117,frz. shrimp
samp2118,frz red tail fish
samp2119,avocados
samp2120,"seaweed, dried"
samp2121,salted mud fish
samp2122,frz whole striped bass
samp2123,snapper fillets
samp2124,wheat flour
samp2125,dehydrated green leeks
samp2126,Chicken Thigh
samp2127,frozen nile perch
samp2128,baklava
samp2129,Bearded Dragon Feces; Pogona vitticeps
samp2130,fried corn snacks
samp2131,feed fishmeal
samp2132,carrot chips
samp2133,avian (cloacalswab)
samp2134,Avian-Emu (feces)
samp2135,Bovine (calf shed)
samp2136,Bovine (fecal swab)
samp2137,Chameleon (feces)
samp2138,"Bovine (multiple tissues-heart kidney,liver,spleen)"
samp2139,white sesame seed
samp2140,frz cooked shrimp
samp2141,tempeh culture open bag
samp2142,cream filled wafer
samp2143,frz yellowfin tuna cube
samp2144,Feline-cheetah(feces)
samp2145,Avian (intestine)
samp2146,SNAKE Stool
samp2147,frozen tilapia whole round
samp2148,frozen sadao
samp2149,poppy seed
samp2150,chamomile powder
samp2151,calonji
samp2152,Animal - Avian-Environment swab
samp2153,sediment pond MD1
samp2154,Animal - Porcine-Feces
samp2155,Animal - Chicken-Feces
samp2156,aloe and prickly pear tea
samp2157,Alligator mississippiensis; aligator stool
samp2158,dairy farm lagoon stage 3
samp2159,frozen sting ray fillets
samp2160,frz whole goby
samp2161,"barramundi fillet, frz"
samp2162,PESTO
samp2163,farm raised frozen large mouth bass
samp2164,frozen gutted and scaled tilapia
samp2165,frz banana leaves
samp2166,Bivalve from an irrigation pond
samp2167,raw scarlet snapper
samp2168,featherback fillets
samp2169,sesame seeds brown
samp2170,"iguana meat, frz"
samp2171,Skink (vent)
samp2172,squid steaks
samp2173,bovine meat
samp2174,frz whole tiger fish
samp2175,homo spaiens; Tissue
samp2176,Cerebrospinal fluid
samp2177,bovine; feces
samp2178,sediment pond RT2
samp2179,"animal feed, protein dairy feed"
samp2180,sweet biscuit
samp2181,Four-fingered Tortoise
samp2182,Rodenticide
samp2183,snake head fish
samp2184,Bone Powder
samp2185,dried sweet basil
samp2186,chicken (unknown category); Gallus gallus
samp2187,dried shrimp
samp2188,"animal feed, cat food"
samp2189,frozen boiled snail
samp2190,cockle clams
samp2191,Crocodylus: Meat
samp2192,environmental swab; Homo sapiens
samp2193,"tuna loin, frz"
samp2194,cooked shrimp ring with cocktail sauce
samp2195,frz channel catfish
samp2196,tissue; Homo sapiens
samp2197,Standing Water
samp2198,chile powder
samp2199,dried belt fish
samp2200,walnut halves and pieces
samp2201,Bovine (necropsy); Bos taurus
samp2202,Rabbit Cage
samp2203,Reptile (cloaca); reptile
samp2204,frz slice swai fish
samp2205,"jalapeno pepper, fresh"
samp2206,"pet food, chicken & biscuits pet"
samp2207,Food(Pork)
samp2208,dried clams
samp2209,all purpose flour
samp2210,arugula
samp2211,capybara; Hydrochoerus hydrochaeris
samp2212,pabda (fish)
samp2213,file fish
samp2214,frz raw octopus
samp2215,trout
samp2216,frz tuna loins
samp2217,Perch
samp2218,teocalli tea
samp2219,dog chew bones
samp2220,Bovine (feed-canola)
samp2221,snake swab
samp2222,mathiya tortilla snack
samp2223,Ground tuna
samp2224,Bovine (necropsy-jejunum)
samp2225,Reptile (multiple tissues)
samp2226,Bovine (liver)
samp2227,spice mix
samp2228,Bovine (lymph)
samp2229,"Chick, Duckling bedding"
samp2230,"Bovine (necropsy-lung,medistinal,lypmth node)"
samp2231,homemade pork BBQ
samp2232,piper sanctum - hoja santa herbal tea leaves
samp2233,"scad, frz"
samp2234,Bird Composite
samp2235,pabda (ompok pabda)
samp2236,powdered pepper spice
samp2237,black pompfret
samp2238,Tuna steaks; frozen yellowfin
samp2239,desicated fine coconut
samp2240,isolated soy protien
samp2241,sediment pond CC2
samp2242,Human-Stool; Homo sapiens
samp2243,Horse Missing
samp2244,"bluefin saku tuna block, frz, co, aaa"
samp2245,meat tenderizer
samp2246,indian mackerel hasa hasa
samp2247,raw turkey breast
samp2248,italian/romaine lettuce
samp2249,chili peppers in glass jars 21 cl
samp2250,"pet treat, bully bite"
samp2251,"pepper, black, ground, cracked"
samp2252,Ovine Tissue
samp2253,rock lobster
samp2254,Porcine (intestin)
samp2255,gingermint tea
samp2256,"Milk, Raw"
samp2257,Seasoned Beef
samp2258,seasoning powder
samp2259,shredded young coconut
samp2260,bovine skin
samp2261,Avocado Leaves
samp2262,"pearlspot, frz"
samp2263,Seafood
samp2264,stool sample from patient with gastroenteritis; Homo sapiens
samp2265,Chalpata Whole Fish
samp2266,Tiger Python
samp2267,Mesenteric lymphnode
samp2268,Pheasant
samp2269,jinmi pocket
samp2270,parrot; Amazona
samp2271,Human; Stool
samp2272,Human; Sacral wound
samp2273,frozen scad
samp2274,Felis catus
samp2275,"silver barb fish, gutted, frz"
samp2276,frz tuna
samp2277,white pepper ground
samp2278,anis seeds
samp2279,"pepper,black, whole"
samp2280,frozen clarias fish
samp2281,"sole fillet, frz"
samp2282,ground red chile pepper
samp2283,"pet treat, bully sticks"
samp2284,badshah (spice mix) biryani pulav
samp2285,"squid, frozen, wild"
samp2286,daily vitamin care for cats & kittens
samp2287,basil - whole
samp2288,Human; faeces
samp2289,Travel to Spain
samp2290,chicken meal
samp2291,organic legume mix
samp2292,turkey mix feed
samp2293,nutmeg
samp2294,Water GA Pond-NP
samp2295,Water GA Pond-BB
samp2296,Squid strips
samp2297,"pet treat, beef chew"
samp2298,"blue crab, frz"
samp2299,chicken laying hens; Gallus gallus
samp2300,lamb meal
samp2301,bacon flavored bones
samp2302,frz tail-on shrimp
samp2303,hazelnut
samp2304,parsley powder
samp2305,alu lachha
samp2306,"pennywort juice, frz"
samp2307,fresh husk tomatoes (tomatillo)
samp2308,frozen tuna medallion
samp2309,pabda (sheat fish)
samp2310,Bulk Pine Nuts
samp2311,"black pepper, crushed"
samp2312,"tilapia, frozen whole"
samp2313,Avian Feces
samp2314,Monitor Tissue Composite
samp2315,bovine (environmental-bird feces)
samp2316,apple snail
samp2317,reptile (swab)
samp2318,alpaca (feces)
samp2319,Bovine (brain)
samp2320,rohu fish
samp2321,hulled sunflower kernels
samp2322,Water Snake Feces
samp2323,soan papdi
samp2324,dried filefish
samp2325,Bovine (feed-grain pellets)
samp2326,fresh parsley
samp2327,river barb fish
samp2328,fresh red sweet pepper
samp2329,threadfin bream
samp2330,fiber dietary supplement
samp2331,poppy seeds
samp2332,chicken-abbatoir-Sporadic
samp2333,Animal - Chicken-Litter
samp2334,soy bean hull pellets
samp2335,tahina ( crushed sesame seed)
samp2336,ground hot chili
samp2337,frozen tilapia whole round farm raised
samp2338,FRESH SPROUTS
samp2339,Swine Carcass swab
samp2340,frozen vacuum packaged yellowfin tuna scrape
samp2341,"coconut strips, dehydrated"
samp2342,Avian Fluid
samp2343,Salamander in an irrigation pond
samp2344,pig; Sus domesticus
samp2345,salted yellow croaker
samp2346,frz yellow walking fish
samp2347,dried soracee leaves and stems
samp2348,fresh tuna
samp2349,barramundi
samp2350,sediment pond CC1
samp2351,swine tongue
samp2352,savory whole
samp2353,grilled chicken
samp2354,shellfish monitoring program
samp2355,saw palmetto seed powder
samp2356,Powdered Dietary Supplement
samp2357,frz shell on shrimp
samp2358,silago frozen fish
samp2359,H. Comtois
samp2360,Herbs
samp2361,Ocellated Skink
samp2362,Viper
samp2363,raw frozen pet food
samp2364,caraway seed
samp2365,pistachio- shell
samp2366,Reptile Feces
samp2367,salted duck eggs
samp2368,boal (fish)
samp2369,frozen yellowfin tuna fillets
samp2370,"spicy seafood stew, frz"
samp2371,dieter's aloe vera tea
samp2372,smoked round scad
samp2373,cha om leaves
samp2374,rosemary leaves
samp2375,cheese roll cake
samp2376,dhanajlru powder
samp2377,"pet treat, beef lung treat"
samp2378,celery seed
samp2379,"tilapia fillets, frz"
samp2380,"ancho podwer, dehydrated"
samp2381,"tuna, bigeye frozen"
samp2382,chipotle powder
samp2383,MUNG BEAN SPROUTS
samp2384,porcine intestine; Sus scrofa
samp2385,"mint, dried"
samp2386,"ainse seed, ground, steamed"
samp2387,fresh beeliner snapper
samp2388,red chili
samp2389,baby mullet fish
samp2390,"fusilier fish, frz"
samp2391,bulk meat& bone meal
samp2392,frz salmon fillets
samp2393,curry
samp2394,field cilantro
samp2395,bull pizzle
samp2396,"file fish - frozen, seasoned"
samp2397,extruded soybean meal
samp2398,rabbit ears (dog treats)
samp2399,biryani spice mix
samp2400,chile pasilla powder
samp2401,rohu
samp2402,lakka (fish)
samp2403,field iceberg lettuce
samp2404,chili pepper powder
samp2405,"tomatillos, fresh"
samp2406,"octopus, frz, raw"
samp2407,Avian (cloacal swab)
samp2408,avian (crop swab)
samp2409,Alpaca (swab)
samp2410,Feline (tissue)
samp2411,"frozen seafood mix, 20x1 lbs iqf"
samp2412,Bovine (feed-corn mix)
samp2413,Alpaca (blood)
samp2414,Pigeon liver
samp2415,kashmiri chilli powder
samp2416,Avian Kidney
samp2417,Pig LUNG
samp2418,Bovine Feces
samp2419,milkfish - chanos chanos
samp2420,Goat Cheese
samp2421,Liquid eggs
samp2422,"Tuna, Frozen Ground"
samp2423,"TUNA STRIPS, FROZEN YELLOWFIN"
samp2424,"striped bass whole, frz"
samp2425,Nasopharynx; Homo sapiens
samp2426,egg
samp2427,champingnon mushrooms
samp2428,dried threadfin fish
samp2429,sediment pond SC
samp2430,tops cerasee tea
samp2431,hamster; hamster
samp2432,common water monitor
samp2433,spice powder
samp2434,"halwa, sugar free pistachio"
samp2435,peanut
samp2436,Raw ground
samp2437,hing (asafoetida)
samp2438,shelled pecans midget pieces
samp2439,khatta meetha food
samp2440,quesillo soft cheese
samp2441,moringa oleifera powder
samp2442,avian liver; Bird
samp2443,"black tiger shrimp, frozen"
samp2444,cayenne pepper
samp2445,dried crayfish
samp2446,rattlesnake powder food supplement
samp2447,hilsha egg
samp2448,cuttlefish roll
samp2449,Blood; Age: 60-69
samp2450,Fresh Papayas
samp2451,veg. soymeat croquet
samp2452,"Raw Organic Macadamia Nuts, Unsalted"
samp2453,frz raw yellowfin tuna steaks
samp2454,homo spaiens; Body Fluid
samp2455,Avian SI Swab
samp2456,Mink
samp2457,Pig Caecum
samp2458,European Badger
samp2459,Pig Feed
samp2460,Reticulated Python
samp2461,Egernia whitii
samp2462,Pseudemoia entecasteauxii
samp2463,goose
samp2464,Rectum; Homo sapiens
samp2465,"mulberry, dried"
samp2466,mrigel  (fish)
samp2467,hilsha
samp2468,porcine pool tissue; Sus scrofa
samp2469,tremenda sticks
samp2470,crab meat
samp2471,hot pimenton (paprika)
samp2472,chili powder white
samp2473,Urine clean catch; Homo sapiens
samp2474,"tilapia, frozen, gutted, scaled"
samp2475,frozen pdn shrimp
samp2476,frozen yellow tuna
samp2477,dried cuttle fish
samp2478,bell pepper
samp2479,Dessicated coconut
samp2480,sediment (pond)
samp2481,Field raw leafy greens
samp2482,Red Pepper Flakes; Red Pepper Flakes
samp2483,Gallus domesticus
samp2484,"corrianders, fresh"
samp2485,bulk soyplus
samp2486,horchata
samp2487,Feline Tissue
samp2488,rice stick
samp2489,frz golden threadfin
samp2490,blackpepper
samp2491,"grouper fillets, frz raw"
samp2492,dhania powder (coriander powder)
samp2493,mullen leaves
samp2494,"bay leaves, powder"
samp2495,Feline Lung
samp2496,instant noodle sauce
samp2497,chana dal
samp2498,sweet blackberry leaves
samp2499,Python stool
samp2500,Snake Colon
samp2501,frozen molokhia chopped
samp2502,roasted peanut
samp2503,frz golden pompano
samp2504,Snake (mouth)
samp2505,Avian Spleen
samp2506,frz. lobster tails
samp2507,brewer's yeast
samp2508,Pig FECES
samp2509,"catfish, yellow"
samp2510,"pepper - cayenne chili, hot peppers"
samp2511,Missing Intestine
samp2512,Reptile-iguana (feces)
samp2513,frozen wild caught whole round big eye scad
samp2514,Ground Turkey Raw
samp2515,Dry Milk
samp2516,herbal tea
samp2517,tuna cube
samp2518,cornflakes mix
samp2519,"macadamia nuts, diced pieces"
samp2520,Washroom
samp2521,frz sillago
samp2522,frozen sardines
samp2523,raw pork primal
samp2524,grated coconut
samp2525,ovine liver
samp2526,Bos taurus; bovine lntestine
samp2527,Isolate from Dog Food
samp2528,turkey meat
samp2529,PEANUT CANDY BAR
samp2530,Wild Bird
samp2531,Colubrid Snake
samp2532,Jaguar
samp2533,Ctenotus saxatilis
samp2534,Dasycercus cristicauda
samp2535,frozen black pomfrets
samp2536,abattoir floor swabs
samp2537,frz cuttlefish
samp2538,dried crushed okra powder
samp2539,chile chimayo (chile sauce)
samp2540,gelatin
samp2541,feline
samp2542,frozen mandarin fish
samp2543,coconut candy bars
samp2544,mutton
samp2545,alligator meat
samp2546,paprika-Raw imported Material
samp2547,"barramundi, frozen"
samp2548,dried jalapeno
samp2549,stool; Homo sapiens; stool
samp2550,tinfoil barb (Puntius altus)
samp2551,whole sesame
samp2552,cookies roscanela
samp2553,frz milk fish
samp2554,"animal feed, zoo diet feed"
samp2555,paneer masala spice mix
samp2556,block butterfly shrimp
samp2557,tiger shrimp
samp2558,golden corvina fillet
samp2559,dried senna leaves
samp2560,Feline-Snow Leopard
samp2561,featherback paste
samp2562,"pet food, frozen hopper mice"
samp2563,sesame seeds/tahini paste
samp2564,"frz octopus, whole, cleaned"
samp2565,avian (swab-cloacal)
samp2566,camelid (multiple tissues)
samp2567,cardamom seeds ground
samp2568,feline (swab)
samp2569,bovine (insect-fly composite)
samp2570,methi (fenugreek)
samp2571,madras sambar masala
samp2572,"tuna, frz"
samp2573,"barramundi fillets, frz"
samp2574,Tomatoes
samp2575,"Pig ears, pet treats"
samp2576,frozen raw esomus swaison whole
samp2577,syrian anis seed
samp2578,kangaroo loin fillets
samp2579,shatavari powder
samp2580,aaa tuna block
samp2581,"tuna scrape, yellowfin"
samp2582,top of septic tank
samp2583,"Banister, Railing"
samp2584,Food Breast-Outbreak
samp2585,Deer liver; Deer
samp2586,dried black fungus strip
samp2587,pasteurized cheese
samp2588,"anchovy, frz, blue"
samp2589,frz cut crab sections
samp2590,"snakehead, whole, frz"
samp2591,Water GA Pond- NP
samp2592,porcine lymph node; Pig
samp2593,"sea scallops, japanese"
samp2594,halawa liquid
samp2595,environmental  swabs
samp2596,avian (necropsy-liver-yolksac)
samp2597,frozen yellow  walking
samp2598,manatee springs water
samp2599,Meleagris gallopavo; brain
samp2600,feces; Caprine
samp2601,Bos taurus; bovine small intestine
samp2602,Sus domesticus; Stomach
samp2603,bovine minced meat
samp2604,livestock-associated habitat; livestock associated; ground beef
samp2605,frz headless  shrimp
samp2606,Reisolated strain from 1956 cobaye
samp2607,Sternotherus Odoratus in an irrigation pond; Sternotherus odoratus
samp2608,cheese crackers with peanut butter
samp2609,homo spaiens; Urine
samp2610,Feed Mill
samp2611,Bronze Turkey
samp2612,Malachite Iguana
samp2613,Blood Python
samp2614,bovine rectal swab; Bos taurus
samp2615,Blood venous; Homo sapiens
samp2616,dhanajeera powder
samp2617,pig roast
samp2618,frz baby eel
samp2619,"shrimp, frz, shell on"
samp2620,ovine brain; Ovis aries
samp2621,farfar snacks
samp2622,"ground salmon, frozen scraps"
samp2623,raw calamari
samp2624,raw mahi mahi
samp2625,jackfruit powder (bot gac)
samp2626,"animal feed, pork blood meal"
samp2627,frozen striped bass
samp2628,frozen fresh water shrimp
samp2629,laboratory generated mutation
samp2630,fresh frozen shrimp
samp2631,BULK SAUSAGE-SOPPERTTA
samp2632,frz. tilapia
samp2633,Food(Curry)
samp2634,"shrimp, iqf, cooked, peeled, deveined"
samp2635,"bangladeshi fresh water fish, kajoli"
samp2636,kalonji
samp2637,kajoli fish
samp2638,frz fish sea perch
samp2639,senna tea leaves
samp2640,Microgreens
samp2641,fenugreek
samp2642,"milkfish, frozen"
samp2643,pumpkin cubes
samp2644,halawa plain
samp2645,"capsicums (cayenne chili, hot peppers), ground, cracked"
samp2646,mahi mahi
samp2647,sing bhujia hot(hot peanut) snacks
samp2648,frozen head on & headless shrimp
samp2649,Lizard Feces
samp2650,Ovine (necropsy-spleen)
samp2651,Camelid (feces)
samp2652,Ovine (feces)
samp2653,Bovine (water)
samp2654,Sea lion (rectal - swab)
samp2655,Avian Heart
samp2656,gold band fusilier
samp2657,frozen goby fish
samp2658,Bat Tissue
samp2659,scarlet snapper
samp2660,grape tomatoes
samp2661,left arm swab; Homo sapiens
samp2662,frozen tilapia
samp2663,raw non-in-tact ground
samp2664,Cotton Seed Hulls
samp2665,canine lung; Dog
samp2666,fresh false coriander
samp2667,low-fat soy flour
samp2668,Rodent (necropsy-chipmunk lung)
samp2669,Tissue; Sus scrofa
samp2670,Animal - Chicken-Cecum
samp2671,Cornmeal
samp2672,"bisi-bele bath mix (curry powder, ground)"
samp2673,"pet treat, bacon stuffed"
samp2674,dark red spice powder
samp2675,assorted herbs
samp2676,bovine (cottonseed feed)
samp2677,canine (necropsy-lung)
samp2678,dry roasted pistachio
samp2679,Lung (monkey)
samp2680,"grated coconut, frz"
samp2681,spice/seasoning mix
samp2682,Sus scrofa; lung
samp2683,Bos taurus; bovine pool feces
samp2684,Meleagris gallopavo; liver
samp2685,Dried meat
samp2686,Meleagris gallopavo; feces
samp2687,mutta masala
samp2688,Final product sales (animal origin)
samp2689,Sump Tank
samp2690,King Python
samp2691,Cereal
samp2692,Ribbonfish
samp2693,Environmental: food-contact surface
samp2694,trigger fillets
samp2695,raw scallop meat
samp2696,madres curry powder (hot)
samp2697,breaded chicken breast nuggets
samp2698,frozen raw shell-on shrimp
samp2699,Almond
samp2700,dried pepper flakes
samp2701,whole macadamia nuts
samp2702,stool; female; Homo sapiens; Age: 46
samp2703,boneless ostrich
samp2704,Chip
samp2705,raw pinenuts
samp2706,dani koral
samp2707,krachai powder
samp2708,Porcine (environmental)
samp2709,puffed rice - lot DEC0208CBM
samp2710,Iguana (vent); Iguana sp.
samp2711,Gecko Feces
samp2712,frz deboned milkfish
samp2713,"golden pomfret fish; farm raised, frozen"
samp2714,snacks-bombay mixture
samp2715,organic garlic powder
samp2716,grey squash
samp2717,frz yellowfin tuna aaa saku block
samp2718,frz tuna scrape (minced meat)
samp2719,Pond water applied to tomato plants
samp2720,serpa cheese
samp2721,paneer tikka mix
samp2722,Bovine (feed-corn silage)
samp2723,beef liver; Homo sapiens
samp2724,shrimp raw
samp2725,"cucumber, fresh"
samp2726,"Bovine (necropsy-intestine,liver)"
samp2727,green pumpkin seed in powder
samp2728,"squid, dried"
samp2729,Camel (si)
samp2730,"oyster meat, frz"
samp2731,oregano ground
samp2732,raclette cheese
samp2733,Bovine (environmental-milk filter)
samp2734,whole frozen octopus
samp2735,organic coconut strips
samp2736,Bovine (colostrum)
samp2737,dried mushroom
samp2738,habenero powder
samp2739,organic red rooibos and organic honeybush
samp2740,cashew/almond/pistachio blend
samp2741,batashi (pseudotorpius atherinodes)
samp2742,frozen hamburger
samp2743,frz sea trout
samp2744,Bearded dragon cage; Pogona vitticeps
samp2745,male; abscess; Age: 16M; Homo sapiens
samp2746,common redpoll
samp2747,stuffed chicken breast
samp2748,water from puddle in field
samp2749,necropsy of colostrium deprived calf; Bovine
samp2750,frz crawfish tail meat
samp2751,red arbol powder
samp2752,Sea lion (swab); sea lion
samp2753,frz raw shell-on shrimp
samp2754,Stool; Age: 40-49
samp2755,Bos taurus; bovine kidney
samp2756,Naja haje faeces
samp2757,veinous blood
samp2758,livestock-associated habitat; livestock associated; fecal swab
samp2759,chicken intestinal
samp2760,Red Throat Anolis
samp2761,Rapeseed
samp2762,Potorous tridactylus
samp2763,roast pork and duck mix
samp2764,frz yellow catfish
samp2765,Sprout Irrigation Water
samp2766,shell on shrimp
samp2767,"anaheim peppers, fresh"
samp2768,dried salted fish
samp2769,pecans shelled
samp2770,walnut halves & pieces
samp2771,coconut powder
samp2772,frozen cooked clam
samp2773,beef suet
samp2774,"frozen sockeye salmon portions, wild caught"
samp2775,Sediment GA Pond-RT1
samp2776,Reptile-Skink(necropsy)
samp2777,Equine (necropsy-intestine)
samp2778,frozen sharptooth fish
samp2779,cicada egg
samp2780,bird feces
samp2781,frozen raw octopus
samp2782,chilli powder hot
samp2783,dry mint
samp2784,orange spice
samp2785,vegetarian instant noodle
samp2786,black peppers (whole)
samp2787,carrageenan gel
samp2788,caprine (necropsy-gall bladder)
samp2789,"Bovine (necropsy-intestine,lung,spleen)"
samp2790,"ladyfish, headless, gutted"
samp2791,barramundi fillets
samp2792,frozen scallops
samp2793,Bovine (feed-milled grain)
samp2794,Bovine (feed-milled)
samp2795,Feline Liver
samp2796,Owl Feces
samp2797,Lamb lung
samp2798,"Bovine, necropsy"
samp2799,Tortoise Feces
samp2800,Horse Colon
samp2801,frozen broadhead fish
samp2802,"baby octopus, frz"
samp2803,frz cleaned & gutted octopus
samp2804,"rhizome whole, frz"
samp2805,prebiotic
samp2806,environmental-quail
samp2807,Animal - Chicken-Egg
samp2808,rubbed sage
samp2809,Deer; Deer
samp2810,dried arnica montana
samp2811,raw cashew pieces
samp2812,baila fish
samp2813,java rock python
samp2814,curry masala spice
samp2815,frozen yellowfin tuna scrape
samp2816,Fried rice
samp2817,"snake head fish fillet 800 g, frz"
samp2818,porcine spleen; Sus scrofa
samp2819,frozen conch
samp2820,frozen pompano iqf
samp2821,large mouth bass
samp2822,pizzle stick
samp2823,ovine lymph node
samp2824,Naja Naja kaouthia faeces
samp2825,Sus domesticus; Colon
samp2826,frz whole bream fish
samp2827,Meleagris gallopavo; Tissue Pool
samp2828,salad
samp2829,Food/alfalfa sprouts
samp2830,Naja Naja Sri Lankan cobra faeces
samp2831,Falcon
samp2832,Sminthopsis sp
samp2833,Ctenophorus isolepis
samp2834,Bobcat
samp2835,sultana biscuits
samp2836,Reptilia
samp2837,frozen tuna individually vacuum packed
samp2838,black drum
samp2839,porcine colon; Sus scrofa
samp2840,"animal feed, fish meal"
samp2841,gourami fish
samp2842,frozen bigeye    tuna
samp2843,frozen shrimp crab spring roll
samp2844,cucmbers
samp2845,lunch meat; lunch meat
samp2846,frz. fish
samp2847,"dog treat, beef filet sqr"
samp2848,bhujia sev snack food w fried extruded lentil sticks
samp2849,Animal-Cattle-Bull
samp2850,"shrimp, shellon, frozen"
samp2851,Python (oral); Python sp.
samp2852,"kangaroo meat, frz"
samp2853,King Snake Feces
samp2854,spotted spiny eel
samp2855,curry powder hot
samp2856,falafel with pepper
samp2857,periostratum cicadae
samp2858,"shrimp, cooked, peeled"
samp2859,frz whisker sheat
samp2860,mackeral
samp2861,frz mahi mahi fillet
samp2862,rabbit; Oryctolagus cuniculus
samp2863,water samples: well & ditch
samp2864,turkey spleen; Meleagris gallopavo
samp2865,dried hairtail
samp2866,black pepper corns
samp2867,faeces; goose
samp2868,fresh serrano peppers
samp2869,"pet treat, pig ear"
samp2870,Feline-Snow Leopard(necropsy-brain)
samp2871,roma tomatoes
samp2872,mole verde
samp2873,Ovine (necropsy-intestine)
samp2874,Bovine (bile)
samp2875,habanero pepper
samp2876,rupsha
samp2877,Chicken Cage
samp2878,"parmesan cheese, shelf stable grated"
samp2879,Bovine (milk culture)
samp2880,Caprine (necropsy-lung)
samp2881,Canine (Culture medium)
samp2882,Bovine (rectal)
samp2883,Chicken jerky
samp2884,Bovine (blood)
samp2885,basil seed drink
samp2886,Tortoise (swab)
